Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,182500.0,182500.0,188000.0,182000.0,187500.0,300640
2020-01-03,181500.0,181500.0,186000.0,180500.0,185000.0,454492
2020-01-06,180500.0,180500.0,182000.0,178000.0,180000.0,287970
2020-01-07,187000.0,187000.0,187000.0,181500.0,182500.0,328624
2020-01-08,183000.0,183000.0,183500.0,179000.0,182000.0,820867
2020-01-09,186000.0,186000.0,186500.0,183500.0,183500.0,531355
2020-01-10,188000.0,188000.0,188000.0,184000.0,185000.0,398739
2020-01-13,188000.0,188000.0,188500.0,186000.0,187500.0,337749
2020-01-14,190500.0,190500.0,194500.0,188000.0,188000.0,501286
2020-01-15,191500.0,191500.0,192000.0,188500.0,189500.0,323778
2020-01-16,191500.0,191500.0,192500.0,189000.0,190000.0,245107
2020-01-17,191000.0,191000.0,192500.0,189500.0,190500.0,286019
2020-01-20,187500.0,187500.0,190500.0,187000.0,190000.0,454733
2020-01-21,182000.0,182000.0,189500.0,181000.0,187500.0,547678
2020-01-22,186000.0,186000.0,190000.0,184500.0,185000.0,429852
2020-01-23,183000.0,183000.0,185500.0,181500.0,185000.0,375929
2020-01-28,178500.0,178500.0,184500.0,178000.0,182000.0,476253
2020-01-29,180000.0,180000.0,183500.0,180000.0,183000.0,434897
2020-01-30,180000.0,180000.0,183000.0,175000.0,179500.0,772160
2020-01-31,179500.0,179500.0,180500.0,177500.0,180000.0,537062
2020-02-03,177500.0,177500.0,180500.0,176000.0,178000.0,485913
2020-02-04,180500.0,180500.0,181500.0,175000.0,177500.0,563463
2020-02-05,181500.0,181500.0,183500.0,178500.0,181000.0,653809
2020-02-06,181500.0,181500.0,183500.0,180500.0,182500.0,659850
2020-02-07,185000.0,185000.0,188500.0,181000.0,181500.0,728633
2020-02-10,183500.0,183500.0,184000.0,180500.0,182500.0,433051
2020-02-11,184500.0,184500.0,185000.0,183000.0,183500.0,400386
2020-02-12,185000.0,185000.0,185000.0,181500.0,183000.0,351892
2020-02-13,184500.0,184500.0,185000.0,183000.0,184000.0,555923
2020-02-14,186500.0,186500.0,187500.0,184000.0,184000.0,659429
2020-02-17,188500.0,188500.0,189000.0,184500.0,184500.0,312407
2020-02-18,186500.0,186500.0,188500.0,185500.0,186500.0,345642
2020-02-19,189500.0,189500.0,191000.0,185000.0,188000.0,560743
2020-02-20,190000.0,190000.0,191500.0,187500.0,189500.0,427402
2020-02-21,189500.0,189500.0,191000.0,187000.0,187500.0,434019
2020-02-24,184000.0,184000.0,187500.0,183500.0,185500.0,567036
2020-02-25,190500.0,190500.0,191000.0,183500.0,184000.0,704859
2020-02-26,187000.0,187000.0,190000.0,186500.0,189500.0,494066
2020-02-27,182000.0,182000.0,187000.0,179000.0,185000.0,535696
2020-02-28,174000.0,174000.0,180000.0,172000.0,179000.0,830654
2020-03-02,175000.0,175000.0,177000.0,172500.0,175000.0,659376
2020-03-03,175000.0,175000.0,180000.0,174000.0,179000.0,544379
2020-03-04,178500.0,178500.0,179500.0,173000.0,174500.0,450252
2020-03-05,181000.0,181000.0,181000.0,178500.0,180500.0,483840
2020-03-06,179500.0,179500.0,181000.0,177500.0,179500.0,293897
2020-03-09,179500.0,179500.0,179500.0,179500.0,179500.0,0
2020-03-10,172000.0,172000.0,176000.0,165000.0,168000.0,666532
2020-03-11,170000.0,170000.0,174000.0,167500.0,172000.0,483822
2020-03-12,170000.0,170000.0,170000.0,170000.0,170000.0,0
